file,bytes,sha256,purpose
Figure6_conditional_environmental_value.png,770923,decc8f24618464dc5e534a6095cc4350613709bc1437562bd5aef2e40aa330cf,submission-ready 600-dpi three-panel PNG
Figure6_conditional_environmental_value_preview.png,188493,f30c8691001c25645d57df393bcb70aeeede34bce232a8fe766d2767f57ac6bf,quick visual-inspection PNG
Figure6_conditional_environmental_value.pdf,59206,ce9f4943352fb0ed345f6c0a920bae0c4405c434cb7e0371932551c6a2bb4070,vector PDF
Figure6_conditional_environmental_value.svg,72218,19d8c8641a0f174a0c21e3627164cc0889cbaa8ef3a0fbce3c690789b4d17391,editable vector SVG
Figure6_heatmap_cell_audit.csv,30148,0c7e2928d8e63d3f2a2aa19754090c0316768ef3f8fb6be632b3ccf6941ac275,exact 108-cell delta-MAE and scale audit
Figure6_validation.json,4515,6fcd17b9241ca769d4342bb1cc2c3701c9ac2ceb54d2f23858222320e6ccf1c1,machine-readable source and scale validation
Figure6_caption.md,922,34d8c1a05c70cedc5f78417c85f192522780e4d79009d86d4719f616a5e93dc7,manuscript-ready caption
Figure6_three_pass_QC.md,1231,a5988d6aab45ef9bb2194259f9df4bef21411821904da78e39d7b3a67042d953,three-pass quality-control record
README_Figure6.md,845,1bd6defbd9508a9ccf92d593b367f50ff181e9c41aed5bc317fc14d46501bac1,deliverable guide
generate_figure6.py,21447,f0a7b2ef50a95df95c5308ecf5a15e39fa0a822262db68e8a1f33a2f1fb88582,reproducible generator
