file,bytes,sha256,purpose
Figure4_overall_frozen_multimodal_performance.png,284983,76275dc335a2e86b6e56495ac4116b2cac579085141e95720c540c5396331a92,submission-ready 600-dpi PNG
Figure4_overall_frozen_multimodal_performance_preview.png,71445,19a401b3fbb01765fb49193148cd5d6a7b4acb9235accea56ea96584fbcc3a2a,quick visual-inspection PNG
Figure4_overall_frozen_multimodal_performance.pdf,47847,74772fd73c042765b142d335c89e1488888de0ca11817d1d70530e54ab8c3de7,vector PDF
Figure4_overall_frozen_multimodal_performance.svg,28109,3d366b0d61275a609112db1f504dc753fd0051ae8ab17cec585b02466a071876,editable vector SVG
Figure4_plotted_data_audit.csv,3853,40ad1c0851a20f24f9d4e5463165eb8211ecb1842a9aaf85f68a2ff168f97607,exact plotted values and computed annotation audit
Figure4_validation.json,1648,c095adde9f458ccf4cd3e7f0651c6295922cb1679e17473929724e7744b16c85,machine-readable source and design validation
Figure4_caption.md,647,4dde29556ad16ca19dd27cd2ac75e2e3b87e611a35c9c88ef1653aefd4b917dc,manuscript-ready caption
Figure4_three_pass_QC.md,944,da01fec9261c239635e46efbc4b744925de930e084f8d0df83870b31e41e706d,three-pass quality-control record
README_Figure4.md,838,e84455ee84d2df76ed56198d4c1e6ce6187726cd6b6a6cc5ac39dc5b1917d043,deliverable guide
generate_figure4.py,15865,ed0d52ed1288050484d71f852e1ec6b30395bae4fced0314abd73a4ba9f8512e,reproducible generator
