file,bytes,sha256,purpose
Figure3_leakage_controlled_multimodal_framework.png,872599,664fafac1293cb8a51a63e19ca15e35e89d867f09207022caa474d72b4565ada,submission-ready 600-dpi raster
Figure3_leakage_controlled_multimodal_framework_preview.png,213103,df685c256d0a881318cfb3dc924abf85c90db59cf4e7f9a0e7341857ff1aea91,quick visual inspection raster
Figure3_leakage_controlled_multimodal_framework.pdf,61845,4d8a362bce931f543a20601e5038a2080061286e50be9b1d8f32e73fe4bb9a72,vector publication output
Figure3_leakage_controlled_multimodal_framework.svg,40990,56767664d10a0a44165e0a4bc5e4689d4bb87032b72ebd6d4b546785186247f0,editable vector output
Figure3_component_audit.csv,3615,f391fb12d730385f0c38bb301982d22f647ae83fc20f797718705ece41bd293c,frozen-source and protocol audit trail
Figure3_validation.json,2295,7a209e48183546e32bab020a7d6e2b3aca3c5350e7d7290e7d1e8b2b11d017bb,machine-readable validation summary
Figure3_caption.md,1047,e8b311dae4d4c88d05d317f25eb18d92e40084067ea4c1b563c25e02508cd615,manuscript-ready caption
README_Figure3.md,1033,ccac9b8f0dde4a5b546bbd9b5d3a500b004c871c606026f3f79eeb102565fed5,deliverable guide
Figure3_three_pass_QC.md,1272,b22a4ee9eca138d589b31d40fdbb3daa246f232fce0cedec6e2ef2a5e959b04a,three-pass figure quality-control record
generate_figure3.py,23713,92d019056fb63785a7d0a314794446bd6b2adae25a5833ca95c3175003026e16,reproducible figure generator
